tipo;bairro;valor;area;quartos;vagas;suites;banheiros;latitude;longitude;regiao;valor
APARTAMENTO;ALDEOTA;260000.0;85.0;3;1.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 2;12.468440756144114
APARTAMENTO;MESSEJANA;255000.0;60.0;2;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 6;12.449022745701502
APARTAMENTO;CAMBEBA;254990.0;43.0;2;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 6;12.448983529400063
APARTAMENTO;LUCIANO CAVALCANTE;252000.0;54.0;3;2.0;2.0;2.0;-3.7460584;-38.4616513;REGIONAL 7;12.437188334739655
APARTAMENTO;FÁTIMA;250000.0;72.0;2;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 4;12.429220196836383
APARTAMENTO;DAMAS;250000.0;74.0;2;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 4;12.429220196836383
APARTAMENTO;PRAIA DO FUTURO I;250000.0;161.0;3;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 7;12.429220196836383
APARTAMENTO;SAPIRANGA/COITÉ;250000.0;63.0;3;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 7;12.429220196836383
APARTAMENTO;FÁTIMA;250000.0;65.0;2;1.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 4;12.429220196836383
APARTAMENTO;DIONÍSIO TORRES;250000.0;83.0;3;1.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 2;12.429220196836383
APARTAMENTO;FÁTIMA;240000.0;65.0;2;1.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 4;12.388398368982115
APARTAMENTO;FÁTIMA;350000.0;117.0;4;1.0;3.0;4.0;-3.7460584;-38.4616513;REGIONAL 4;12.765691290604371
APARTAMENTO;MESSEJANA;230000.0;53.0;2;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 6;12.345838935721968
APARTAMENTO;MONDUBIM;225000.0;66.0;3;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 10;12.323860125621126
APARTAMENTO;BENFICA;220000.0;82.0;3;1.0;2.0;2.0;-3.7460584;-38.4616513;REGIONAL 4;12.301387370778713
APARTAMENTO;DAMAS;220000.0;80.0;3;1.0;1.0;3.0;-3.7460584;-38.4616513;REGIONAL 4;12.301387370778713
APARTAMENTO;SÃO GERARDO;215000.0;75.0;2;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 3;12.278397958261774
APARTAMENTO;JOAQUIM TÁVORA;210000.0;78.0;2;1.0;2.0;3.0;-3.7460584;-38.4616513;REGIONAL 2;12.25486757159303
APARTAMENTO;PAPICU;200000.0;59.0;3;2.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 2;12.206077645517674
APARTAMENTO;PASSARÉ;200000.0;48.0;2;1.0;1.0;1.0;-3.7460584;-38.4616513;REGIONAL 8;12.206077645517674
APARTAMENTO;CIDADE DOS FUNCIONÁRIOS;200000.0;76.0;3;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 6;12.206077645517674
APARTAMENTO;CIDADE DOS FUNCIONÁRIOS;225000.0;66.0;2;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 6;12.323860125621126
APARTAMENTO;RODOLFO TEÓFILO;199000.0;61.0;3;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 3;12.201065128819632
APARTAMENTO;COUTO FERNANDES;195000.0;66.0;3;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 11;12.180759965737863
APARTAMENTO;MONTESE;190000.0;70.0;3;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 4;12.154784614286667
APARTAMENTO;SERRINHA;180000.0;94.0;3;1.0;2.0;3.0;-3.7460584;-38.4616513;REGIONAL 8;12.100717685412471
APARTAMENTO;FÁTIMA;180000.0;115.0;3;1.0;1.0;2.0;-3.7460584;-38.4616513;REGIONAL 4;12.100717685412471
